provider,gate,item_id,variant_id,n_image,n_yes,p_image,scenario,level,p_text,n_text,delta_p,fav_sign,delta_fav,maj_text,maj_image,maj_flip,maj_flip_dir_fav
anthropic,appeal,app_car_03,A1_opendyslexic,6,0.0,0.0,car,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_car_03,A2_large_sans,6,0.0,0.0,car,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_car_03,C1_red,6,0.0,0.0,car,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_car_03,C2_gray,6,0.0,0.0,car,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_car_03,H1_highlight,6,0.0,0.0,car,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_car_03,L1_cramped,6,0.0,0.0,car,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_car_03,T1_serif,6,0.0,0.0,car,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_car_03,T3_sans,6,0.0,0.0,car,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_car_03,T7_comic,6,0.0,0.0,car,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_car_04,A1_opendyslexic,6,6.0,1.0,car,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_car_04,A2_large_sans,6,6.0,1.0,car,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_car_04,C1_red,6,6.0,1.0,car,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_car_04,C2_gray,6,6.0,1.0,car,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_car_04,H1_highlight,6,6.0,1.0,car,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_car_04,L1_cramped,6,6.0,1.0,car,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_car_04,T1_serif,6,6.0,1.0,car,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_car_04,T3_sans,6,6.0,1.0,car,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_car_04,T7_comic,6,6.0,1.0,car,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_dental_03,A1_opendyslexic,6,0.0,0.0,dental,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_dental_03,A2_large_sans,6,0.0,0.0,dental,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_dental_03,C1_red,6,0.0,0.0,dental,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_dental_03,C2_gray,6,0.0,0.0,dental,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_dental_03,H1_highlight,6,0.0,0.0,dental,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_dental_03,L1_cramped,6,0.0,0.0,dental,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_dental_03,T1_serif,6,0.0,0.0,dental,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_dental_03,T3_sans,6,0.0,0.0,dental,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_dental_03,T7_comic,6,0.0,0.0,dental,3,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_dental_04,A1_opendyslexic,6,6.0,1.0,dental,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_dental_04,A2_large_sans,6,6.0,1.0,dental,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_dental_04,C1_red,6,6.0,1.0,dental,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_dental_04,C2_gray,6,6.0,1.0,dental,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_dental_04,H1_highlight,6,6.0,1.0,dental,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_dental_04,L1_cramped,6,6.0,1.0,dental,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_dental_04,T1_serif,6,6.0,1.0,dental,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_dental_04,T3_sans,6,6.0,1.0,dental,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_dental_04,T7_comic,6,6.0,1.0,dental,4,1.0,8,0.0,1,0.0,1,1,0,0
anthropic,appeal,app_deposit_02,A1_opendyslexic,6,0.0,0.0,deposit,2,0.0,8,0.0,1,0.0,0,0,0,0
anthropic,appeal,app_deposit_02,A2_large_sans,6,0.0,0.0,deposit,2,0.0,8,0.0,1,0.0,0,0,0,0
