sentence_id,approval_rate_text,approval_rate_image,n
19,0.7,0.5222222222222223,90
16,0.6,0.5,90
20,0.5,0.4777777777777778,90
36,0.5,0.4666666666666667,90
34,0.6,0.45555555555555555,90
25,0.5,0.4444444444444444,90
22,0.6,0.4111111111111111,90
35,0.4,0.35555555555555557,90
30,0.4,0.35555555555555557,90
15,0.5,0.34444444444444444,90
7,0.7,0.3333333333333333,90
27,0.5,0.3,90
23,0.3,0.28888888888888886,90
17,0.5,0.28888888888888886,90
14,0.5,0.28888888888888886,90
32,0.5,0.28888888888888886,90
21,0.5,0.28888888888888886,90
4,0.4,0.2777777777777778,90
11,0.4,0.26666666666666666,90
5,0.3,0.26666666666666666,90
9,0.5056179775280899,0.25842696629213485,89
29,0.5,0.24444444444444444,90
24,0.3,0.24444444444444444,90
8,0.5,0.24444444444444444,90
26,0.2,0.24444444444444444,90
18,0.4,0.2222222222222222,90
31,0.4,0.2222222222222222,90
6,0.5,0.2111111111111111,90
12,0.3,0.18888888888888888,90
10,0.39325842696629215,0.16853932584269662,89
28,0.3,0.16666666666666666,90
3,0.3,0.15555555555555556,90
33,0.4,0.15555555555555556,90
2,0.3,0.12222222222222222,90
1,0.3,0.08888888888888889,90
13,0.4,0.08888888888888889,90
