dimension_id,approval_rate_text,approval_rate_image,n
formal,1.0,0.7283950617283951,324
trustworthy,1.0,0.5277777777777778,324
confident,0.6388888888888888,0.44753086419753085,324
persuasive,0.3055555555555556,0.4351851851851852,324
immediate_action,0.3611111111111111,0.3395061728395062,324
professional,0.47058823529411764,0.16718266253869968,323
high_risk,0.5572755417956656,0.1238390092879257,323
urgent,0.08333333333333333,0.06790123456790123,324
emotional,0.0,0.009259259259259259,324
form_dependent,0.0,0.0,324
