gate,item_id,scenario,level,variant_id,image_path,font_size,image_width,image_height,ink_ratio
resume,res_mkt_01,mkt,1,T1_serif,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_01/T1_serif.png,51,1400,560,0.07896301020408163
resume,res_mkt_01,mkt,1,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_01/T3_sans.png,50,1400,612,0.08554971988795518
resume,res_mkt_01,mkt,1,T7_comic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_01/T7_comic.png,50,1400,560,0.07198979591836735
resume,res_mkt_01,mkt,1,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_01/A1_opendyslexic.png,40,1400,740,0.06511679536679536
resume,res_mkt_01,mkt,1,A2_large_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_01/A2_large_sans.png,75,1400,1141,0.09830850131463628
resume,res_mkt_01,mkt,1,C1_red,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_01/C1_red.png,50,1400,612,0.08499416433239963
resume,res_mkt_01,mkt,1,C2_gray,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_01/C2_gray.png,50,1400,612,0.08394024276377217
resume,res_mkt_01,mkt,1,H1_highlight,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_01/H1_highlight.png,50,1400,612,0.39426353874883285
resume,res_mkt_01,mkt,1,L1_cramped,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_01/L1_cramped.png,38,1400,344,0.09427948504983388
resume,res_mkt_02,mkt,2,T1_serif,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_02/T1_serif.png,51,1400,620,0.07586405529953917
resume,res_mkt_02,mkt,2,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_02/T3_sans.png,50,1400,612,0.091937441643324
resume,res_mkt_02,mkt,2,T7_comic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_02/T7_comic.png,50,1400,620,0.06963824884792627
resume,res_mkt_02,mkt,2,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_02/A1_opendyslexic.png,40,1400,740,0.06997200772200772
resume,res_mkt_02,mkt,2,A2_large_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_02/A2_large_sans.png,75,1400,1232,0.09774234693877551
resume,res_mkt_02,mkt,2,C1_red,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_02/C1_red.png,50,1400,612,0.09139355742296919
resume,res_mkt_02,mkt,2,C2_gray,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_02/C2_gray.png,50,1400,612,0.09033029878618114
resume,res_mkt_02,mkt,2,H1_highlight,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_02/H1_highlight.png,50,1400,612,0.4191153127917834
resume,res_mkt_02,mkt,2,L1_cramped,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_02/L1_cramped.png,38,1400,412,0.08460298196948682
resume,res_mkt_03,mkt,3,T1_serif,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_03/T1_serif.png,51,1400,680,0.0791186974789916
resume,res_mkt_03,mkt,3,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_03/T3_sans.png,50,1400,730,0.0873894324853229
resume,res_mkt_03,mkt,3,T7_comic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_03/T7_comic.png,50,1400,680,0.07208403361344538
resume,res_mkt_03,mkt,3,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_03/A1_opendyslexic.png,40,1400,740,0.07879150579150579
resume,res_mkt_03,mkt,3,A2_large_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_03/A2_large_sans.png,75,1400,1323,0.10297915991793542
resume,res_mkt_03,mkt,3,C1_red,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_03/C1_red.png,50,1400,730,0.08685909980430528
resume,res_mkt_03,mkt,3,C2_gray,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_03/C2_gray.png,50,1400,730,0.08586594911937377
resume,res_mkt_03,mkt,3,H1_highlight,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_03/H1_highlight.png,50,1400,730,0.3957866927592955
resume,res_mkt_03,mkt,3,L1_cramped,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_03/L1_cramped.png,38,1400,412,0.09622919556171983
resume,res_mkt_04,mkt,4,T1_serif,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_04/T1_serif.png,51,1400,620,0.08164861751152074
resume,res_mkt_04,mkt,4,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_04/T3_sans.png,50,1400,612,0.09878267973856208
resume,res_mkt_04,mkt,4,T7_comic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_04/T7_comic.png,50,1400,620,0.0747016129032258
resume,res_mkt_04,mkt,4,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_04/A1_opendyslexic.png,40,1400,800,0.06894464285714286
resume,res_mkt_04,mkt,4,A2_large_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_04/A2_large_sans.png,75,1400,1323,0.09778641615376309
resume,res_mkt_04,mkt,4,C1_red,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_04/C1_red.png,50,1400,612,0.09814775910364146
resume,res_mkt_04,mkt,4,C2_gray,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_04/C2_gray.png,50,1400,612,0.09697362278244631
resume,res_mkt_04,mkt,4,H1_highlight,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_04/H1_highlight.png,50,1400,612,0.4496020074696545
resume,res_mkt_04,mkt,4,L1_cramped,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_04/L1_cramped.png,38,1400,412,0.09099341192787795
resume,res_mkt_05,mkt,5,T1_serif,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_05/T1_serif.png,51,1400,620,0.08633986175115207
resume,res_mkt_05,mkt,5,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_05/T3_sans.png,50,1400,671,0.09454545454545454
resume,res_mkt_05,mkt,5,T7_comic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_05/T7_comic.png,50,1400,620,0.07840668202764976
resume,res_mkt_05,mkt,5,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_05/A1_opendyslexic.png,40,1400,800,0.07250714285714285
resume,res_mkt_05,mkt,5,A2_large_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_05/A2_large_sans.png,75,1400,1232,0.11003014842300557
resume,res_mkt_05,mkt,5,C1_red,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/resume/res_mkt_05/C1_red.png,50,1400,671,0.09399936129444326
