dimension_id,approval_rate_text,approval_rate_image,n
formal,1.0,1.0,291
professional,0.5532646048109966,0.6082474226804123,291
persuasive,0.38831615120274915,0.40893470790378006,291
immediate_action,0.19243986254295534,0.2268041237113402,291
trustworthy,0.7731958762886598,0.21993127147766323,291
high_risk,0.6116838487972509,0.18213058419243985,291
urgent,0.054982817869415807,0.17869415807560138,291
emotional,0.027491408934707903,0.01718213058419244,291
confident,0.08247422680412371,0.006872852233676976,291
form_dependent,0.0,0.0,291
