mean,ci_low,ci_high,n,dimension_id
0.6265432098765432,0.5288611111111111,0.7301587301587301,324,confident
0.0,0.0,0.0,324,emotional
0.0,0.0,0.0,324,form_dependent
0.7407407407407407,0.6763285024154589,0.80810101010101,324,formal
0.691358024691358,0.5797101449275363,0.8009259259259259,324,high_risk
0.2932098765432099,0.18682659932659934,0.40096618357487923,324,immediate_action
0.49074074074074076,0.37777777777777777,0.6018518518518519,324,persuasive
0.043209876543209874,0.0,0.07407407407407407,324,professional
0.9722222222222222,0.9523809523809523,1.0,324,trustworthy
0.08024691358024691,0.018518518518518517,0.12700396825396815,324,urgent
