run_id,provider,model,dimension_id,flip_rate,n
run_20260115_222423,openai,gpt-4o-mini,trustworthy,0.4826388888888889,288
run_20260115_222423,openai,gpt-4o-mini,high_risk,0.43902439024390244,287
run_20260115_222423,openai,gpt-4o-mini,confident,0.3506944444444444,288
run_20260115_222423,openai,gpt-4o-mini,professional,0.30313588850174217,287
run_20260115_222423,openai,gpt-4o-mini,formal,0.2916666666666667,288
run_20260115_222423,openai,gpt-4o-mini,persuasive,0.16319444444444445,288
run_20260115_222423,openai,gpt-4o-mini,immediate_action,0.11805555555555555,288
run_20260115_222423,openai,gpt-4o-mini,urgent,0.027777777777777776,288
run_20260115_222423,openai,gpt-4o-mini,emotional,0.006944444444444444,288
run_20260115_222423,openai,gpt-4o-mini,form_dependent,0.0,288
run_20260116_144444,anthropic,claude-sonnet-4-20250514,trustworthy,0.5555555555555556,288
run_20260116_144444,anthropic,claude-sonnet-4-20250514,high_risk,0.4409722222222222,288
run_20260116_144444,anthropic,claude-sonnet-4-20250514,urgent,0.14583333333333334,288
run_20260116_144444,anthropic,claude-sonnet-4-20250514,professional,0.1284722222222222,288
run_20260116_144444,anthropic,claude-sonnet-4-20250514,persuasive,0.1284722222222222,288
run_20260116_144444,anthropic,claude-sonnet-4-20250514,confident,0.08333333333333333,288
run_20260116_144444,anthropic,claude-sonnet-4-20250514,immediate_action,0.08333333333333333,288
run_20260116_144444,anthropic,claude-sonnet-4-20250514,emotional,0.024305555555555556,288
run_20260116_144444,anthropic,claude-sonnet-4-20250514,form_dependent,0.0,288
run_20260116_144444,anthropic,claude-sonnet-4-20250514,formal,0.0,288
run_20260117_164819,google,models/gemini-2.0-flash,trustworthy,0.48148148148148145,324
run_20260117_164819,google,models/gemini-2.0-flash,confident,0.2808641975308642,324
run_20260117_164819,google,models/gemini-2.0-flash,formal,0.2037037037037037,324
run_20260117_164819,google,models/gemini-2.0-flash,persuasive,0.18518518518518517,324
run_20260117_164819,google,models/gemini-2.0-flash,professional,0.17901234567901234,324
run_20260117_164819,google,models/gemini-2.0-flash,immediate_action,0.1419753086419753,324
run_20260117_164819,google,models/gemini-2.0-flash,high_risk,0.10802469135802469,324
run_20260117_164819,google,models/gemini-2.0-flash,urgent,0.033950617283950615,324
run_20260117_164819,google,models/gemini-2.0-flash,form_dependent,0.027777777777777776,324
run_20260117_164819,google,models/gemini-2.0-flash,emotional,0.0,324
